"year","1","2","3","4","5","6","7","8","9","10"
1968,0.127,0.272,0.364,0.43,0.496,0.546,0.586,0.625,0.658,0.71
1969,0.127,0.269,0.358,0.425,0.493,0.542,0.582,0.621,0.654,0.707
1970,0.126,0.268,0.354,0.417,0.487,0.538,0.578,0.617,0.649,0.702
1971,0.127,0.267,0.351,0.412,0.478,0.531,0.573,0.612,0.644,0.697
1972,0.127,0.268,0.35,0.409,0.471,0.521,0.566,0.606,0.638,0.69
1973,0.126,0.267,0.351,0.407,0.467,0.513,0.554,0.597,0.632,0.683
1974,0.132,0.278,0.365,0.425,0.485,0.53,0.569,0.609,0.649,0.705
1975,0.139,0.291,0.381,0.444,0.509,0.552,0.59,0.628,0.664,0.727
1976,0.146,0.301,0.39,0.454,0.52,0.567,0.601,0.638,0.671,0.729
1977,0.151,0.312,0.4,0.46,0.526,0.574,0.612,0.644,0.675,0.729
1978,0.156,0.323,0.413,0.47,0.532,0.579,0.617,0.654,0.679,0.73
1979,0.161,0.334,0.43,0.488,0.546,0.589,0.626,0.663,0.692,0.739
1980,0.167,0.352,0.454,0.518,0.579,0.617,0.649,0.686,0.716,0.769
1981,0.168,0.367,0.481,0.55,0.617,0.657,0.683,0.715,0.745,0.799
1982,0.164,0.361,0.49,0.569,0.64,0.683,0.711,0.734,0.758,0.811
1983,0.154,0.337,0.463,0.556,0.636,0.68,0.71,0.733,0.748,0.793
1984,0.15,0.319,0.436,0.53,0.626,0.681,0.713,0.739,0.753,0.789
1985,0.148,0.315,0.417,0.504,0.604,0.679,0.722,0.751,0.768,0.804
1986,0.147,0.31,0.409,0.48,0.571,0.65,0.715,0.755,0.774,0.813
1987,0.144,0.305,0.399,0.466,0.539,0.61,0.679,0.741,0.772,0.814
1988,0.141,0.302,0.398,0.461,0.531,0.584,0.646,0.715,0.77,0.824
1989,0.139,0.297,0.397,0.463,0.529,0.58,0.623,0.685,0.747,0.827
1990,0.139,0.292,0.388,0.459,0.527,0.573,0.613,0.654,0.709,0.795
1991,0.137,0.291,0.381,0.449,0.523,0.572,0.607,0.646,0.68,0.757
1992,0.136,0.286,0.379,0.439,0.509,0.564,0.603,0.635,0.667,0.721
1993,0.137,0.287,0.374,0.439,0.5,0.552,0.598,0.634,0.66,0.712
1994,0.138,0.291,0.379,0.439,0.506,0.549,0.592,0.637,0.667,0.713
1995,0.139,0.298,0.39,0.451,0.513,0.563,0.597,0.64,0.679,0.73
1996,0.14,0.3,0.399,0.463,0.526,0.57,0.611,0.644,0.68,0.742
1997,0.14,0.301,0.402,0.473,0.541,0.585,0.619,0.66,0.686,0.744
1998,0.141,0.302,0.404,0.478,0.554,0.603,0.637,0.669,0.704,0.751
1999,0.14,0.3,0.401,0.474,0.552,0.609,0.648,0.68,0.705,0.762
2000,0.137,0.296,0.396,0.468,0.545,0.604,0.651,0.688,0.712,0.759
2001,0.136,0.291,0.391,0.464,0.54,0.599,0.648,0.694,0.723,0.77
2002,0.135,0.285,0.38,0.452,0.528,0.584,0.633,0.681,0.72,0.77
2003,0.133,0.282,0.371,0.438,0.514,0.571,0.617,0.665,0.705,0.766
2004,0.132,0.279,0.367,0.428,0.498,0.555,0.602,0.647,0.688,0.75
2005,0.131,0.277,0.365,0.426,0.489,0.541,0.59,0.635,0.674,0.735
2006,0.131,0.278,0.366,0.427,0.49,0.535,0.579,0.627,0.667,0.726
2007,0.132,0.277,0.367,0.427,0.491,0.536,0.572,0.614,0.656,0.717
2008,0.133,0.282,0.37,0.434,0.497,0.544,0.58,0.615,0.652,0.715
2009,0.136,0.288,0.379,0.44,0.508,0.555,0.593,0.628,0.657,0.715
2010,0.137,0.291,0.384,0.448,0.512,0.562,0.599,0.636,0.665,0.715
2011,0.137,0.293,0.387,0.453,0.52,0.566,0.607,0.643,0.673,0.723
2012,0.136,0.291,0.385,0.452,0.521,0.568,0.604,0.644,0.673,0.724
2013,0.138,0.291,0.386,0.453,0.523,0.574,0.612,0.646,0.68,0.73
2014,0.139,0.297,0.391,0.46,0.531,0.583,0.625,0.662,0.69,0.745
2015,0.139,0.298,0.395,0.46,0.532,0.585,0.628,0.668,0.698,0.748
2016,0.136,0.294,0.392,0.46,0.528,0.582,0.625,0.666,0.699,0.751
2017,0.134,0.287,0.385,0.456,0.527,0.575,0.619,0.66,0.694,0.749
2018,0.134,0.286,0.381,0.452,0.526,0.579,0.618,0.66,0.695,0.751
2019,0.134,0.284,0.377,0.444,0.52,0.576,0.619,0.656,0.692,0.748
2020,0.135,0.284,0.375,0.442,0.512,0.57,0.617,0.659,0.689,0.746
2021,0.135,0.287,0.376,0.44,0.51,0.563,0.612,0.658,0.694,0.745
2022,0.133,0.281,0.372,0.431,0.496,0.548,0.591,0.638,0.677,0.733
2023,0.13,0.276,0.364,0.426,0.486,0.532,0.575,0.616,0.656,0.715
2024,0.13,0.275,0.362,0.423,0.487,0.529,0.566,0.607,0.642,0.702
